instrument_id,tag,unit_op,stream_ref,measured_variable,measurement_mode,purpose,provenance,source_key,gap_ref,notes
I-011,AI-0105,U01-LIG,S04,purity,off_line,Adenylylated dead-end (AppN) species by LC-MS,inference,SRC-ALMAC-2023,Q-040,"Monitoring only, because no control is defined: the AppN dead end was observed in exactly this chemistry (SRC-ALMAC-2023) and it is ~329 Da from the product, so filtration cannot remove it (R-010). This instrument can see the defect; nothing in the register yet prevents it (Q-040)."
I-012,QI-0106,U01-LIG,S04,bioburden,off_line,Bioburden sample point on the ligation pool,inference,SRC-PHEUR-5-1-4,Q-043,Monitoring only.
I-013,PDI-0201,U02-CF,S04,differential_pressure,in_line,Differential pressure across the depth filter; capacity endpoint,assumption,,Q-036,Monitoring only. The throughput (L/m2) that would turn this into a sized endpoint is a gap (Q-036).
I-014,PDI-0202,U02-CF,S05,differential_pressure,in_line,Differential pressure across the 0.2 um filter,assumption,,,Monitoring only.
I-015,FI-0203,U02-CF,S05,flow,in_line,Filtrate flow through the clarification train,assumption,,Q-036,Monitoring only.
I-016,AI-0204,U02-CF,S05,residual_protein,off_line,Residual ligase / total protein in the clarified pool,assumption,,Q-032,"The single instrument the chromatography-free thesis rests on, and it enforces BOTH branches of Q-050 - a soluble enzyme denatured and filtered, or one retained on a carrier - because either way what must be demonstrated is protein absence in this pool. Its acceptance value (P-ENZ-CLEARANCE-LRV) is BLANK: no ppm, log-reduction or immunoassay figure for ligase clearance exists in the public record (Q-032, R-002)."
I-017,QI-0205,U02-CF,S05,endotoxin,off_line,Endotoxin in the clarified pool,inference,SRC-ALMAC-2023,,"Monitoring only. A cell-free-extract route puts a whole proteome plus endotoxin through this point rather than one enzyme (R-017), so the load this instrument sees depends on Q-050."
I-018,TI-0206,U02-CF,S05,temperature,in_line,Clarified-pool temperature,assumption,,Q-050,"Monitoring only, and NOT the denature hold. The soluble branch of Q-050 needs an 85 C/15 min hold, which needs a heated vessel or exchanger; U02-CF is single-use depth media and cannot denature anything. That unit does not exist in the equipment register and its absence is registered against Q-050 (R-021)."
I-019,PIC-0301,U03-UFDF,S05,pressure,in_line,Feed pressure control on the TFF skid,assumption,,,
I-020,PDI-0302,U03-UFDF,S08,differential_pressure,in_line,Transmembrane pressure (TMP),assumption,,Q-041,"The operating handle for flux (EQ-FLUX). Which mechanism actually sets the ceiling - osmotic pressure or fouling - is open (Q-041), so TMP is instrumented but its limit is not set."
I-021,FIC-0303,U03-UFDF,S07,flow,in_line,"Permeate flow, i.e. flux",assumption,,Q-036,Enforces the flux the membrane area is sized from (EQ-FLUX). The flux value itself is carried on surrogates and is a gap for an oligonucleotide stream (Q-036).
I-022,FI-0304,U03-UFDF,S05,flow,in_line,Retentate recirculation flow; minimum channel crossflow velocity,assumption,,Q-049,Monitoring only. Crossflow velocity is what sets the skid's turndown (Q-049).
I-023,AI-0305,U03-UFDF,S07,conductivity,in_line,Diafiltration endpoint by permeate conductivity,assumption,,Q-020,"Enforces P-DF-DIAVOL (EQ-DIAF). IN-LINE conductivity is not in question and is instrumented as such; what cannot be read in line is UV, and only at the concentrations this stream reaches - at P-CONC-UF the required path length falls below P-VPE-PATHLENGTH-MIN (Q-042). The two were advertised together as 'in-line UV/conductivity' before this register separated them."
I-024,AI-0306,U03-UFDF,S08,uv_absorbance,at_line,"Retentate concentration, at-line by variable-pathlength slope spectroscopy",inference,,Q-042;Q-051,"AT-LINE ON THIS STREAM, and that is a geometric constraint rather than a property of the instrument class. Fixed-pathlength in-line UV saturates on a 21-mer at process concentration, and at P-CONC-UF the pathlength an A260 = 1 reading needs falls below the published in-line floor P-VPE-PATHLENGTH-MIN, so the reading is taken on a withdrawn sample. An earlier version of this row said variable-pathlength slope spectroscopy is inherently at-line; that was WRONG - FlowVPE publishes 5 um to 8 mm and is used in-line on UF/DF (SRC-ROLINGER-2023, SRC-BHANGALE-2022). It serves control C-013, whose loop is therefore open. See Q-051 for what would have to close first."
I-025,AI-0307,U03-UFDF,S07,uv_absorbance,off_line,Product loss to permeate,assumption,,Q-036,"Monitoring only. Off-line on a grab sample; sieving and the resulting yield term are open (EQ-SIEVE, EQ-UFYIELD, Q-036, Q-048)."
I-026,LI-0308,U03-UFDF,S08,level,in_line,Retentate vessel level and system hold-up,assumption,,Q-049,Monitoring only. Hold-up volume is part of both the turndown basis (Q-049) and the yield loss term (P-UFDF-HOLDUP-LOSS).
I-027,QI-0309,U03-UFDF,S08,bioburden,off_line,Bioburden sample point on the retentate,inference,SRC-PHEUR-5-1-4,Q-043,Monitoring only.
I-028,TIC-0401,U04-EVAP,S08,temperature,in_line,Vacuum boiling temperature,assumption,,Q-045,"Enforces P-EVAP-T-BOIL, the thermal operating point the sensible-heat duty is computed from (EQ-ENERGY, EQ-BPE). The value is an assumption (Q-045)."
I-029,PIC-0402,U04-EVAP,,pressure,in_line,Evaporator absolute pressure (vacuum),assumption,,Q-045,"The handle that sets the boiling temperature above (EQ-BPE). Monitoring and control of the operating point, not of a quality attribute."
I-030,TI-0403,U04-EVAP,S08,temperature,in_line,Feed temperature to the evaporator,assumption,,Q-045,Monitoring only. P-EVAP-T-FEED sets how much sensible heat is needed before anything evaporates (EQ-ENERGY).
I-031,FI-0404,U04-EVAP,S08,flow,in_line,"Feed flow, against the minimum wetting rate per unit tube perimeter",inference,SRC-HUGHES-2024,,"Monitoring only, but it is the reading that shows whether the evaporator can run at all at a small batch size: below the minimum wetting rate the film breaks into rivulets, so a small batch must recirculate rather than run single-pass (P-EVAP-MIN-WETRATE, R-013, R-004)."
I-032,FI-0405,U04-EVAP,S09,flow,in_line,"Condensate flow, i.e. water actually removed",assumption,,,Monitoring only; closes the evaporator water balance against the computed figure.
I-033,AI-0406,U04-EVAP,S10,concentration,at_line,Evaporator outlet total dissolved solids,assumption,,Q-018,"AT-LINE, deliberately: an outlet-solids reading is a concentration measurement and is claimed in line nowhere in this register (Q-042 is the reason the distinction is tracked). The evaporator ceiling this would be compared against is itself open (Q-018, P-CONC-EVAP)."
I-034,TIC-0501,U05-SD,,temperature,in_line,Drying gas inlet temperature,assumption,,Q-046,"Enforces P-DRY-T-IN. Sets the heater duty, which is the plant utility load (UT-DRYGAS, EQ-ENERGY). The value is an assumption (Q-046)."
I-035,TIC-0502,U05-SD,S11,temperature,in_line,Drying gas OUTLET temperature,assumption,,Q-046,"The instrument that enforces the looser of the two thermal limits on the product: outlet temperature caps the particle's thermal exposure and must sit below the duplex melting temperature (P-DRY-T-OUT, P-DS-TM, Q-030, R-003). The binding limit is the moisture-shifted glass transition, measured by QI-0508."
I-036,TI-0503,U05-SD,,temperature,in_line,Ambient gas temperature upstream of the heater,assumption,,Q-046,"Monitoring only. P-DRY-T-AMBIENT is the datum the heater duty is measured from, so the utility load moves with it."
I-037,FIC-0504,U05-SD,,flow,in_line,Drying gas mass flow,assumption,,Q-019,"The drying-gas mass is DERIVED from the process duty in the balance rather than assumed, so this reading is the check on that derivation, not an input to it."
I-038,FIC-0505,U05-SD,S10,flow,in_line,Atomiser feed flow,assumption,,Q-019,Monitoring only at this stage; the atomiser operating range that would bound it is pending atomiser selection (Q-019).
I-039,MI-0506,U05-SD,S11,gas_humidity,in_line,Exhaust gas humidity,assumption,,,"Monitoring only; a drying-endpoint proxy. It is not a substitute for the product moisture measurement below, which is the one the glass transition depends on."
I-040,MI-0507,U05-SD,S12,moisture,at_line,Product residual moisture (Karl Fischer / loss on drying),inference,SRC-KEIL-2021,Q-039,"Enforces P-DS-RESID-MOISTURE, and it is half of the binding thermal limit: the 38-53 C glass transition band was measured AT 3.8-4.6% residual moisture, so quoting one without the other detaches the number from its condition (EQ-TG, SRC-KEIL-2021, Q-039). Residual moisture is an OUTCOME of the dryer conditions, not an input, which is why it is measured rather than set."
I-041,QI-0508,U05-SD,S12,glass_transition,off_line,"Glass transition of the dried powder at its achieved moisture, by DSC",inference,SRC-KEIL-2021,Q-039,"The instrument that enforces the BINDING thermal limit on drying and storage - tighter than the melting temperature (P-DS-TG, EQ-TG). Off-line by nature. The band that exists is for spray-dried trehalose siRNA polyplex formulations, their matrix and their moisture, not ours (Q-039, Q-021)."
I-042,PDI-0509,U05-SD,S11,differential_pressure,in_line,Differential pressure across the product-collection filter,assumption,,,"Monitoring only. A dried organic powder brings dust-explosion controls into scope (R-016), so collection-filter condition is a safety reading as well as a yield one."
I-043,AI-0510,U05-SD,S12,purity,off_line,Full-length and duplex purity of the powder,assumption,,Q-044,"Monitoring only here, because the analytical dimension the specification will be written in is not chosen (Q-044) - and purity multiplies only within one dimension, so the dimension decides which purity the block-ligation floor must clear (EQ-PURITY, R-003)."
I-044,QI-0511,U05-SD,S12,bioburden,off_line,Bioburden on the drug-substance powder,inference,SRC-PHEUR-5-1-4,,Monitoring only.
I-045,QI-0512,U05-SD,S12,endotoxin,off_line,Endotoxin on the drug-substance powder,assumption,,,"Monitoring only. What arrives here depends on the protein and endotoxin load entering purification, which depends on the enzyme form (R-017, Q-050)."
I-046,AI-0601,U06-CIP,,conductivity,in_line,CIP return conductivity; cleaning endpoint,assumption,,,Monitoring only. The evaporator and the spray dryer are the hard-to-clean items (R-008).
I-047,TI-0602,U06-CIP,,temperature,in_line,CIP supply temperature,assumption,,,Monitoring only.
I-048,FI-0603,U06-CIP,,flow,in_line,CIP loop flow; minimum velocity for surface coverage,assumption,,Q-049,Monitoring only; the minimum pump flow that would bound it is a gap (Q-049).
I-049,AI-0604,U06-CIP,,concentration,off_line,Residual product in the final CIP rinse,assumption,,Q-047,"Monitoring only, and it has no acceptance limit: a cleaning-validation limit needs a health-based exposure limit, and P-HBEL-DS is blank because the toxicology data does not exist publicly (Q-047, R-015)."
