source_key,citation,url,reachability,access,scale_system,notes,verified,clauses_read
SRC-BPT-TFF,"BioProcessTools, TFF membrane sizing & diafiltration (technical blog)",https://bioprocesstools.com/blog/tff-membrane-sizing-diafiltration,reachable,web-page-read,"general; protein/mAb UF/DF - secondary aggregator, not a primary source","CAUTION: anonymous, organisation-attributed site, domain registered 2026-03-26, no named author or credentials, no about page. Its diafiltration and gel-polarisation equations are textbook-standard and are cited here only for convenience; prefer primary membrane-science sources. Its unique numeric tables should not be relied on. The page is about protein UF/DF and carries no RNA recovery figure.",2026-09-17 checked against source; page text and domain registration checked,
SRC-PMC7415879,"Muslehiddinoglu J, Simler R, Hill ML, Mueller C, Amery JHA, Dixon L, Watson A, Storch K, Gazziola C, Gielen F, Lange SA, Prail JD, Nesta DP, Technical Considerations for Use of Oligonucleotide Solution API, Nucleic Acid Ther. 2020, 30(4):189-197",https://pmc.ncbi.nlm.nih.gov/articles/PMC7415879/,"full text, open access at PubMed Central PMC7415879",full-text-read,"oligonucleotide (ASO) SOLUTION drug substance at manufacturing scale - single strand, not an siRNA duplex, and not a dryer feed","CITATION FIELD IS INCOMPLETE - true record verified via Crossref: Muslehiddinoglu J, Simler R, Hill ML, Mueller C, Amery JHA, Dixon L, Watson A, Storch K, Gazziola C, Gielen F, Lange SA, Prail JD, Nesta DP, 'Technical Considerations for Use of Oligonucleotide Solution API', Nucleic Acid Therapeutics 2020, 30(4):189-197, doi 10.1089/nat.2020.0846. Queued for correction. VERBATIM, UF/DF: 'Concentrations of 40-100 mg/mL are regularly achieved and it may be possible to achieve higher concentrations by increasing the MWCO of the membrane; however, this could lead to yield loss through the membrane.' VERBATIM, EVAPORATION (contradicts the 'no oligo evaporation data' note on Q-018): 'The maximum concentration of API solution achieved during manufacture by the authors to date is 160 mg ASO/g solution' and 'it is likely that TFE will achieve higher concentrations of API solution compared with UF/DF, as more viscous liquids are less likely to foul the evaporator.' VERBATIM, BIOBURDEN: 'During the drug substance manufacturing process, levels <1 CFU/mL demonstrate microbial control if bioburden reduction is performed before the sterile filtration step in DP manufacturing but higher levels may be justifiable on a case-by-case basis.' This is a statement of PRACTICE with a case-by-case caveat, NOT a pharmacopoeial limit and NOT a specification. NO numeric endotoxin limit appears. VERBATIM, VISCOSITY (secondary report of Poecheim et al., primary not retrieved): 'Poecheim et al. measured a viscosity close to 120 mPas for a conjugated LNA molecule at 500 mg/mL'. TRAP: the stated TFE 'time frame of a few hours' is total batch cycle time, NOT fluid residence time - do not cite it as a residence time.","2026-09-18 read in full; author list, journal, volume, pages and DOI verified via Crossref; no erratum recorded",
SRC-PMC12226154,"Anion-exchange membrane adsorbers for endotoxin removal, PMC12226154",https://pmc.ncbi.nlm.nih.gov/articles/PMC12226154/,full text,full-text-read,buffer matrices only - NO protein and NO oligonucleotide feed tested,Q vs guanidinium adsorbers. Guanidinium reduced endotoxin to below detection or by >93.9% (>1 log) and worked up to 43 mS/cm; Q ligands limited to ~6-8 and up to 24 mS/cm. Feeds were UFDF start and diafiltration buffer matrices containing no protein.,2026-09-17 checked against source; the earlier 'protein feed' caveat was wrong - no protein was tested,
SRC-WO2023164631,"Amgen, Methods of preparing high concentration liquid drug substances (WO2023164631A1)",https://patents.google.com/patent/WO2023164631A1,reachable,web-page-read,patent; oligo DS,"Claim 1 recites starting solution 140 mg/mL or less and final composition 'greater than about 150 mg/mL'. The description (not the claims) additionally describes embodiments at least 250, 275, 300 mg/mL or higher. There is no closed 150-225 mg/mL range in the patent.",2026-09-17 checked against source; claims and description read separately,
SRC-FFE-WIKI,Falling film evaporator (overview),https://en.wikipedia.org/wiki/Falling_film_evaporator,reachable,web-page-read,general; food/chem,Residence time inside the tubes 'measured in seconds'; suited to heat-sensitive products. Carries NO film-thickness figure.,2026-09-17 checked against source,
SRC-POPE-FFE,"Pope Scientific, falling film / wiped film evaporators (vendor)",https://www.popeinc.com/equipment/falling-film-evaporators/,reachable,web-page-read,vendor; general,Vendor. Falling film without wipers; suitable where heat sensitivity or viscosity are not extreme. Carries NO residence-time or film-thickness figure.,2026-09-17 checked against source,
SRC-SPX-MVR,"SPX Flow Anhydro, MVR evaporators (vendor)",https://www.spxflow.com/anhydro/products/mechanical-vapor-recompression-mvr-evaporators/,reachable,web-page-read,vendor; general,Vendor page. Qualitative only: 'Energy Consumption: Very low; little or no steam required'. Carries NO kWh figure; the 15-25 kWh/ton value must be cited to SRC-EFSAN-MVR instead.,2026-09-17 checked against source; page contains no quantitative energy figure,
SRC-KEIL-2021,"Keil et al., spray drying siRNA polyplexes, crystalline vs amorphous matrices, Adv. Ther. 2021",https://advanced.onlinelibrary.wiley.com/doi/10.1002/adtp.202100073,open access (PMC7611418),full-text-read,bench; siRNA polyplex,"Trehalose formulations allowed full siRNA recovery; mannitol lost ~20% siRNA and 50-60% polymer. Integrity preserved at outlet temp below siRNA melting temp. Measured Tg of the trehalose formulations 38-53 C (NOT 117 C). Residual moisture 3.8-4.6% trehalose, 0.2-0.4% mannitol. Paper never mentions relative humidity.",2026-09-17 checked against source; full text read,
SRC-NAKED-NA-2023,"Stability of naked nucleic acids under physical treatment and powder formation, PMC10747740",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC10747740/,"full text, open access at PubMed Central PMC10747740",full-text-read,"bench, 80 micrograms in 4 mL; NAKED siRNA (siGL3) and naked plasmid DNA; research duplex, NOT a heavily modified therapeutic siRNA","Record verified via Crossref: Okuda T, Okazaki M, Hayano A, Okamoto H, 'Stability of Naked Nucleic Acids under Physical Treatment and Powder Formation', Pharmaceutics 2023, 15(12):2786, doi 10.3390/pharmaceutics15122786. FIRST NAKED-siRNA drying evidence in this register (SRC-KEIL-2021 is a polyplex). VERBATIM: 'the relative band intensity for siGL3 was more than 80% after all the physical treatments investigated' - treatments were sonication, vortex agitation, atomization and lyophilization. VERBATIM, activity retained: 'siGL3 after all the physical treatments investigated exhibited the almost equivalent suppression of Fluc expression to fresh siGL3 (10-20% of Control)'. CONTRAST, plasmid DNA did NOT survive: 'Fluc expression for pDNA treated with sonication, heating at 60 and 90 C, atomization, or lyophilization was less than 25% of that for fresh pDNA'. Dryer setting, verbatim: 'The inlet temperature and air flow rate were set to 60 or 120 C and 90 L/min, respectively.' Bears on R-003: atomisation shear is a plasmid problem, not a short-duplex problem.",2026-09-18 read in full; record verified via Crossref; no erratum recorded,
SRC-SD-MORPH,"Alhajj & O'Reilly, Interplay of solute crystallization and drying potential in controlling spray dried particle morphology, Int. J. Pharm. 2026, 694:126744",https://www.sciencedirect.com/science/article/pii/S0378517326001924,"OPEN ACCESS, CC BY 4.0 - the previous 'paywalled' record was WRONG. Crossref carries a vor licence entry pointing to creativecommons.org/licenses/by/4.0/ effective 2026-03-03 with the Elsevier open-access copyright form; OpenAlex reports is_oa true, oa_status hybrid, licence cc-by, version publishedVersion; Semantic Scholar reports isOpenAccess true, status HYBRID, licence CCBY. Europe PMC's record is SELF-CONTRADICTORY (isOpenAccess N and availability 'Subscription required' alongside licence 'cc by') and is the likely origin of the wrong record. The full text was still not retrieved here: ScienceDirect returns a Cloudflare 403 to automated clients and the Elsevier text-mining API rejected the key. THAT IS A BOT BLOCK, NOT A PAYWALL - a human with a browser can read and download the CC BY PDF free at sciencedirect.com/science/article/pii/S0378517326001924",abstract-only,"bench; single-component model system, ciprofloxacin in two salt forms chosen for distinct crystallisation tendencies; dryer model not stated in the abstract","Exactly two authors, verified against Crossref: Nasser Alhajj (SETU Waterford / PMBRC) and Niall J. O'Reilly (SETU / SSPC). Int. J. Pharm. 2026, 694:126744, doi 10.1016/j.ijpharm.2026.126744, PMID 41794349. SUBSTANTIVE CAUTION FOR THE PAGE THAT DEPENDS ON THIS SOURCE. The abstract contains NO NUMBERS AT ALL - no temperatures, airflows, particle sizes or Peclet values. On the Peclet framework it says only, verbatim, that morphology is 'commonly interpreted through the Peclet number framework, which links solvent evaporation and solute diffusion' - it does NOT falsify, extend or replace that framework. The load-bearing sentences are, verbatim: 'the inlet temperature effects depend critically on airflow rate and resulting outlet conditions' and 'These findings show that inlet temperature alone is an insufficient predictor of particle morphology.' READ THAT PRECISELY: the paper says inlet temperature ALONE is insufficient. It does NOT say outlet temperature IS a sufficient or superior predictor. Any claim of the form 'outlet predicts morphology, inlet does not' is stronger than this source supports. Retraction check clean.","2026-09-18 licence and author list verified against Crossref, OpenAlex and Semantic Scholar; full abstract read verbatim from the PubMed record; full text NOT retrieved (bot block, not a paywall)",
SRC-OPRD-2025,"Allen D, Arts R, Belin G, Borna M, Coffin C, Drinkwater S, Jehle P, Johnson J, Nuydens A, Olbrich M, Ortiz AR, Ozdemir M, Quinn A, Seyberth T, Smith PD, Tremmel S, Venkatram B, Willis J, Considerations for Microbiological Control Strategy during Oligonucleotide Drug Substance Manufacturing, Org. Process Res. Dev. 2025, 29(12):3013-3027",https://pubs.acs.org/doi/10.1021/acs.oprd.5c00317,"There is no subscription barrier: the licence is CC-BY 4.0 per the Crossref record, oa_status hybrid. Full text is blocked only by a Cloudflare bot challenge from this environment: pubs.acs.org HTML and PDF (403), the ref=article_openPDF link (403), the ScienceDirect mirror S1083616025002695 and its pdfft (403 robot check), Wayback (301 only), Europe PMC (0 hits), PubMed Central (not deposited), OpenAIRE, CORE, Paperity, Semantic Scholar host, Elsevier API - all tried and all failed. A human with an ordinary browser should get it in five minutes",record-only,oligo DS,"ATTRIBUTION CORRECTED. It is NOT 'Kumar et al.'. Verified against Crossref: Allen D., Arts R., Belin G., Borna M., Coffin C., Drinkwater S., Jehle P., Johnson J., Nuydens A., Olbrich M., Ortiz A. R., Ozdemir M., Quinn A., Seyberth T., Smith P. D., Tremmel S., Venkatram B., Willis J., 'Considerations for Microbiological Control Strategy during Oligonucleotide Drug Substance Manufacturing', Org. Process Res. Dev. 2025, 29(12):3013-3027, doi 10.1021/acs.oprd.5c00317, online 2025-11-29. Eighteen authors from an industry consortium (GSK, AstraZeneca, Novartis, Roche, J&J, Biogen, Ionis, Arrowhead, Sarepta, Amgen). BOTH FIGURES PREVIOUSLY ATTRIBUTED TO THIS PAPER HAVE NOW BEEN TRACED ELSEWHERE, and neither belongs to it. (1) The '200 cfu/g or mL pharmacopoeial maximum' is the Ph. Eur. 5.1.4 interpretation rule - see SRC-PHEUR-5-1-4 - and it is the compendial FLOOR for a non-sterile substance, three orders of magnitude LOOSER than what the oligonucleotide literature recommends. Anyone quoting 200 CFU as the oligonucleotide limit has quoted the wrong end of the range. (2) The '<1 CFU/mL' is verbatim from SRC-PMC7415879 (Nucleic Acid Therapeutics 2020), not from this paper. A web search returned that sentence attributed to this paper - a live instance of exactly the source-conflation failure mode this register exists to prevent. STILL UNREAD. Attribute nothing to this row.","2026-09-18 record verified via Crossref, OpenAlex and Semantic Scholar; author list and licence corrected; full text NOT retrieved; both previously attributed figures traced to other sources",
SRC-AMVUTRA-EPAR,"Vutrisiran (Amvuttra) EPAR, EMA/CHMP/689555/2022",https://www.ema.europa.eu/en/medicines/human/EPAR/amvuttra,reachable (numeric specs redacted),redacted,commercial siRNA DS,"Dual orthogonal AX-HPLC + IPRP-HPLC control of impurities in single strands and final active substance; impurity classes named (shortmers, longmers, partially deprotected, P=O, GalNAc-related). NO numeric acceptance criteria disclosed anywhere: commercially confidential information deleted.",2026-09-17 checked against source; full 158-page report text searched; contains no purity percentage and no impurity threshold,
SRC-USPTO-10640812,"Crameri A, Hill ML, Tew DG (GlaxoSmithKline IP Development Ltd), Processes for the production of oligonucleotides, US10640812B2, granted 2020-05-05",https://image-ppubs.uspto.gov/dirsearch-public/print/downloadPdf/10640812,reachable; full text read at patents.google.com/patent/US10640812B2 (the USPTO PDF endpoint returns HTTP 403),web-page-read,"patent; bench and analytical examples at 20-25 micromolar segment (Examples 4-12) and 1.5 mM per segment in a 5 mL recirculated packed bed (Example 13). Example 13's substrate is stated verbatim to have 'all linkages are phosphodiester linkages' - a PHOSPHODIESTER 2'-MOE gapmer with a NAD-dependent ligase, NOT our phosphorothioate chemistry, and the same patent's PS/MOE figures are 11.8 percent or less","An ENGINEERED-LIGASE patent: 'Processes for the production of oligonucleotides', US10640812B2, assignee GlaxoSmithKline Intellectual Property Development Ltd, inventors Andreas Crameri, Malcolm Leithhead Hill, David Graham Tew, granted 2020-05-05, earliest priority 2016-07-11. VERBATIM on T4: 'Wild-type T4 DNA ligase is poor at ligating 2'-OMe substituted oligonucleotide segments, but slightly less sensitive to modification of the 5' oligonucleotide segment than the 3' segment' - so 'inability' overstates it. VERBATIM on alternatives: 'Wild-type Enterobacteria phage ligase CC31 (SEQ ID NO:6)... are able to ligate a 2' OMe substituted 5' segment'; 'Chlorella virus DNA ligase (SEQ ID NO:29, commercially available as SplintR(R) ligase, NEB) was able to ligate modified oligonucleotide segments'. THE IMPORTANT NEGATIVE PREVIOUSLY CARRIED HERE IS FALSE AND IS STRUCK. It read: 'the patent reports NO measured conversion, yield or purity percentage anywhere - peak areas only. It therefore does NOT close Q-010.' Re-read against the document, all three parts of that are wrong. The patent DEFINES conversion, verbatim: 'Conversion = product area/(template + product area) * 100'. It has a table column headed 'Conversion (%)'. And Example 13 Table 22 is a nine-point time series whose values were re-verified character-for-character: 4.40, 18.90, 34.40, 56.80, 61.50, 69.40, 70.90, 88.10, 89.50. Example 13 concludes verbatim that 'the semi-continuous flow reaction worked and after 16 hours the reaction was almost complete'. BUT THE CORRECTION MUST NOT GO FURTHER THAN THE EVIDENCE, and this is the part that matters: Table 22 is NOT the same quantity as the conversion definition above it. Its own caption reads verbatim 'The percentage of each segment, intermediate and product is expressed as fractional peak area relative to the tri-template hub peak area' - an internal-reference-normalised species DISTRIBUTION, a different denominator from that patent's own Conversion (%) table and a third from the 92 percent this register carries from SRC-CN119265174. So 89.50 and 92 MUST NOT be pooled, quoted as a range, or read as corroborating each other; a fix that merely says 'the patent does report conversion' and lets them sit side by side replaces one error with a worse one. Example 13 charge: 1.5 mM final per segment, 5 mL reaction mix recirculated through a Pharmacia XK16 column at 1 mL/min for 16 hours, 30 C, sampled at 30/60/90 min and 4/5/6/7/14/16 h. Example 10 conditions: 1 mM ATP, 4.9 uM ligase, 20 uM of each segment and template, 25 C, 16 hours - and at 25 C with Mg2+ 'no full length product was detected', full length appearing only with Mn2+. Example 11, verbatim: 'At 25 C. the Chlorella virus DNA ligase was able to successfully ligate the 5' segment and centre segment but no full length product was observed. At 30 C. and 37 C., full length product was detected.' So 25 C is a temperature at which two of three exemplified chemistries failed (P-LIG-T). Enzyme inactivation in this patent is 95 C for 5 min and 95 C for 10 min (P-LIG-INACT-T). Wild-type performance on a 2'-MOE all-PS gapmer is 0.0-9.4 percent full length, best of 15 wild-types 11.8 percent (Table 20), which is why engineering or screening is not optional.","2026-09-18 read in full at Google Patents; title, assignee, inventors, grant and priority dates read from the granted document",
SRC-NT-MASS,Standard ribonucleotide monophosphate residue masses (reference),https://en.wikipedia.org/wiki/Nucleic_acid_sequence,reachable,web-page-read,physical constants,"Order-of-magnitude only. Unmodified in-chain ribonucleotide residues average ~321 Da (AMP 329, CMP 305, GMP 345, UMP 306); 2'-OMe and PS modifications raise this, so 330 Da is a sound approximation and if anything slightly low for heavily modified siRNA.",2026-09-17 checked against source,
SRC-STEAMTAB,"Water latent heat of vaporisation (steam tables, reference)",https://en.wikipedia.org/wiki/Enthalpy_of_vaporization,reachable,web-page-read,physical constant,"Latent heat 2257 kJ/kg at 100 C confirmed. The ~2400 kJ/kg figure at reduced pressure corresponds to about 0.05-0.1 bar (2393 kJ/kg at 0.1 bar, 2424 kJ/kg at 0.05 bar) and comes from steam tables, not from this page.",2026-09-17 checked against source,
SRC-ZYDNEY-2025,"Banik, Mason, Carter, Qian, Zydney, Effect of ligand density and properties on membrane charge for enhancing ultrafiltration of siRNA, Sep. Purif. Technol. 2025",https://doi.org/10.1016/j.seppur.2025.134951,"open-access mirror at Penn State ScholarSphere (CC BY-NC-ND 4.0), record scholarsphere.psu.edu/resources/83e4f10f-4cf8-4705-8401-085e4ef0dae7 - the RECORD PAGE and its abstract were read; the deposited FILE is behind a Cloudflare Turnstile interstitial that no automated route passed. Unpaywall: green",abstract-only,bench; siRNA duplex,"THE ~193 g/L FIGURE IS REAL AND IS NOW QUOTABLE. Abstract read verbatim from the ScholarSphere record page: experiments used 'surface modified composite regenerated cellulose membranes having a molecular weight cutoff (MWCO) of 10 kDa'. The best-performing membrane (3-carbon sulfonic-acid spacer) reached a maximum achievable siRNA concentration of about 193 g/L against under 60 g/L for the unmodified control, at zeta potentials of -10 to -13 mV. TWO THINGS FOLLOW. (1) The figure the register carried as UNVERIFIED is confirmed, and belongs to this paper, not to SRC-ZYDNEY-2024. (2) 10 kDa is the only MWCO number quotable from the whole Zydney siRNA corpus, and it is far below the '30 kDa upper limit' that was previously asserted and remains unsupported. Author list verified via Crossref and the repository metadata: Banik, Mason, Carter, Qian, Zydney. There is no 'Bezanson'. Maximum achievable concentration is NOT monotonic in zeta potential - the most negative membrane is not the best performer.",2026-09-18 abstract read verbatim from the Penn State ScholarSphere record; author list verified via Crossref; the 193 g/L figure confirmed; full text still not retrieved (Turnstile),
