risk_id,unit_op,description,cause,effect,cqa_affected,severity,likelihood,detectability,current_control,proposed_mitigation,owner,status,confidence
RSK-100,UO-10,Filter integrity test failure,Filter defect or handling,Batch investigation and potential loss,CQA-15,High,Low,Good,Pre and post use testing,Robust handling procedure,TBD,Open,SEED
RSK-101,UO-10,Product adsorption to membrane,Filter chemistry,Yield loss,CQA-10,Medium,Medium,Good,Mass balance,Filter screening with actual product,TBD,Open,SEED
RSK-102,UO-10,Filter blockage,Undersized area,Delay,None,Medium,Low,Good,Pressure monitoring,Throughput trials,TBD,Open,SEED
RSK-103,UO-10,Extractables and leachables,Filter materials,Impurity in DS,CQA-14,Medium,Low,Moderate,Supplier data,Product specific E and L study,TBD,Open,SEED
RSK-110,UO-11,Cake collapse,Shelf temperature above critical temperature,Product quality and appearance failure,CQA-11,High,Medium,Good,Product temperature probes,Determine critical temperature and design cycle below it,TBD,Open,SEED
RSK-111,UO-11,Incomplete drying,Cycle too short,Water content failure,CQA-11,High,Medium,Good,Karl Fischer at release,In line endpoint detection,TBD,Open,SEED
RSK-112,UO-11,Non uniform drying across chamber,Shelf and position effects,Position dependent quality,CQA-11,High,Medium,Poor,Limited probe positions,Uniformity mapping and worst case position sampling,TBD,Open,SEED
RSK-113,UO-11,Extended cycle consuming capacity,Conservative fixed time cycle,Facility throughput shortfall,None,HIGH,High,Good,None,In line endpoint detection. Direct capacity gain,TBD,Open,SEED
RSK-114,UO-11,Duplex integrity loss during drying,Cycle stress,Low duplex content,CQA-08,High,Low,Good,Post lyo duplex assay,Confirm duplex stability through cycle,TBD,Open,SEED
RSK-120,UO-12,Moisture uptake during dispensing,Hygroscopic solid in uncontrolled humidity,Water content failure,CQA-11,High,Medium,Good,Humidity monitoring,Humidity controlled dispensing,TBD,Open,SEED
RSK-121,UO-12,Container closure integrity failure,Sealing defect,Stability failure,Stability,High,Low,Good,CCI testing,Sealing process validation,TBD,Open,SEED
RSK-122,UO-12,Storage excursion,Equipment or power failure,Product loss,Stability,HIGH,Low,Good,Monitoring and alarm,Backup power and excursion procedure,TBD,Open,SEED
RSK-123,UO-12,Labelling or segregation error,Human error in multi product facility,Product mix up,CQA-01,HIGH,Low,Moderate,Line clearance,Electronic verification,TBD,Open,SEED
RSK-200,Ligation route,No viable ligation junction in modification pattern,Fully modified backbone,Route is not feasible,None,HIGH,Medium,Good,None,Establish feasibility before any further work. See OQ-002,TBD,Open,SEED
RSK-201,Ligation route,Adenylylated species not resolvable from product,Close chromatographic behaviour,Purity failure,CQA-19,HIGH,Medium,Moderate,None,Control ATP conditions and evaluate deadenylase,TBD,Open,SEED
RSK-202,Ligation route,GMP ligase supply,Concentrated supply base,Process cannot run,None,High,Medium,Good,None,Secure supply and audit supplier,TBD,Open,SEED
RSK-203,Ligation route,Splint and protein clearance validation burden,New impurity classes,Filing and cost burden,CQA-17 CQA-18,Medium,High,Good,None,Factor into route decision economics,TBD,Open,SEED
RSK-300,Programme,Amidite supply and lead time,Concentrated supply base,Schedule and cost of goods,None,HIGH,High,Good,None,Dual source where possible and hold strategic inventory,TBD,Open,SEED
RSK-301,Facility,Demand scenario wrong,Batch size not yet defined,Facility sized incorrectly,None,HIGH,Medium,Good,None,Carry three scenarios and reserve expansion headroom,TBD,Open,SEED
RSK-302,Facility,Hazardous area scope underestimated,Late recognition of solvent duty,Major capital rework,None,HIGH,Medium,Good,None,Classify areas in concept design not detail design,TBD,Open,SEED
